Earnings,Ownership,Opinion,Ratings,Misc,Spam,Negative
,Microsoft Corp $MSFT Holder Voya Investment Management LLC Trimmed Its Holding by $58.97 Million as Market Value Rose,$twtr looks strong compared to most of the market. Sold $mu early in the day and bought $twtr.,,,Most Active Options,Trading Options Around Earnings Reports:
,Microsoft Corp $MSFT Shareholder Apg Asset Management Nv Decreased Position,"Nope. $TWTR is like every other social media platform or company, about generating revenue. Edit with the option to see unedited post (just like Facebook).
@jack should have been fired permanently long ago. He's out-of-touch w users.",,,I wish I had known these 4 things before trading stocks https://t.co/4ppVzH8W7o it's been a long journey to success $FB $TWTR,How color will the market end tomorrow? 
,Apg Asset Management Nv Holding in Microsoft Corp $MSFT Has Lowered by $61.16 Million as Market Valuation Rose,"I agree with Jack, get rid of it!",,,,"Cabot Weekly Review Video  ""A Wild Week in the Market"""
,Haverford Financial Services Trimmed Microsoft $MSFT Position, Last Week Devon Energy $DVN Coverage,$twtr everyone be patient with $twtr stock because it will show lots of up and down until dec due to RSI of six months is at 65. In order to push higher it must come down little through out this season to grind higher. Slowly but surly upwards.,,,
,Schwab Charles Investment Management INC Raised Microsoft Corp $MSFT Position by $56.58 Million, Shares Rose,Snap: The Drunken Sailor Burned Another $159 Million https://t.co/QoFhAPFsx5 $SNAP $TWTR $FB #Snapchat,,,
,"Insider Selling: Microsoft Co. $MSFT CMO Sells 10,000 Shares of Stock","$twtr rally is coming Nov 6 for rest of Nov and Dec month. So, buckle up....",,,,Morning Price Volume Leaders $AMZN $TSLA $AAPL $MSFT $BABA $NFLX $FB $AMD See the full list at
,Updated: CEO Jeff Bezos To Purchase 50% Stake In Aurora Cannabis $ACBFF As Amazon $AMZN Lays Foundation For Marijuana Legalization Online,I think this is a negative for $TWTR - a lot of backlash will be coming from here especially those w/ high follower counts that lives on getting their tweets liked,,,,
,"Amazon Com $AMZN Stock Rose While Eagleclaw Capital Managment Lowered by $458,190 Its Stake",You can short $twtr at any time you like.  Freedom!,,,,
,Amazon Com INC $AMZN Holder Voya Investment Management LLC Has Boosted Its Holding by $60.15 Million,"The beauty of $TWTR is to follow like-minded people and it's AI technology will recommend who to follow. Still a lot of work to be done for $TWTR, but so far on the right track.",,,,
,,"if they give these barbarians the right to edit, $TWTR will be a five dollar stock

twitter is for hardcore criticism and being forced to own your sh i t t y tweets

as for bookmarks, just DM good tweets to yourself this isn't rocket science",,,,
,,"Users: edit and bookmark
Twitter: the star is now a heart
Users: edit and bookmark
Twitter: the heart goes away",,,,
,,WTF I can’t like tweets soon. I still miss the star. The end is near for twitter.... will they kill it? $twtr ,,,,
,,Goooooood news!!! $TWTR NOW SHORTABLE AGAIN!!!,,,,
,,Market now days heading for a recession / market crash. $AMD $TWTR,,,,
,,$TWTR losing its shine. This setting up for a massive dump come PH.,,,,
,,$twtr for the next 14 business days twitter will trade around 32.89-33.75 or more and then will jump to next higher levels of 34-36 at least. It takes time with this market but don't listen to negatives. Keep in mind that twitter did not go hight like 300% like other stock.,,,,
,,$SQ Jack should have promoted Sarah Friar to CEO of $SQ while he focused solely on $twtr instead of letting her walk out that door,,,,
,,If twitter removes the like button without a replacement they will lose a billable engagement for ads. $TWTR,,,,
,,$twtr will soon disable the Tweet feature and shut down the company in an effort to improve the quality of public debates,,,,
,,The like button provides a dopamine drop and helps $TWTR stock in terms of engagement. Also @Twitter: Let’s get rid of it. Better be a damn good replacement or launch of another tool.,,,,
,,Gird your loins here comes $FB and $AAPL on deck.  With so much money flowing into FAANG the past few years could be a treacherous few days ahead,,,,
,,"And Margrethe Vestager is just getting started. FANGs have been abusing tax havens & consumer privacy for far too long
$FB
",,,,
,,"Nearly half of 18-29 year old Facebook users in America have deleted app?

Damn, $FB going down! I guess I was right again",,,,
,,Finally read text of the new California Consumer Privacy Act of 2018 (CCPA). $FB is certain to not like this.,,,,
,,Facebook stock (FB) is an acceptable risk ahead of earnings,,,,
,,"$FB users will be way down, and I bet $AAPL Phone sales will be lower as well",,,,
,,Good civic responsibility needed from $FB $GOOG $GOOGL $APPLE $AMZN #BEZOS #ZUCK guilty of antitrust and lack of civic responsibility,,,,
,,"Panasonic Corp  on
Wednesday reported a 15 percent fall in second-quarter operating
profit, missing analyst estimates, weighed down by investment in
Tesla Inc's battery plant in Nevada.

Oh, well. $TSLA $TSLAQ",,,,
,,"But the are at a crossroads, no?  They have to go with the lie, that $TSLA is doing really well, exponential growth, can't make 'em fast enough, etc. or they have to admit there may be reduced demand.",,,,
,,The only people who bag on visionaries are the ones completely devoid of any vision themselves. $TSLA $F,,,,
,,Tesla’s Model 3 ramp seemingly hits overdrive with 61.8k new VIN registrations in Oct so far $TSLA,,,,
,,Waiting for that @MoodysInvSvc credit upgrade for $TSLA like...,,,,
,,#Model3  Safest car with every new test.  And still the most fun.,,,,
,,$TSLA is going to rip Q4 on Model 3 sales alone and then some. But hey what do I know among the sea of naysayers and Volkswagen CO2 promoters!! And other paid shorts on this board 🙈🙈🙈 Enjoy your misery,,,,
,,$TSLA Model 3 is THE product of the next decade. It will be the best selling car worldwide as soon as production can satisfy global demand.,,,,
,,"$TSLA Board Decides Today Replace Elon Musk With Bot That Just Tweets ""Stock, go up"" Every Hour ",,,,
,,"$TSLA $TSLAQ To put things in perspective and to understand why @Tesla is resilient in a somewhat bearish market, let these charts sink in. Thanks @teslanomicsco for this work! #TeamElon & #Tesla FTW!!",,,,
,,Learning all this makes me not so bullish on $Tsla anymore @Mullen_USA is going to render their tech advantages short. As any lithium manufact. can implement this into their current battery processes. That’s why companies like VW can so aggressively say they WILL compete by 2020,,,,
,,"Yeah. $TSLA made a mistake by shunning LIDAR (and science), leaving this wide open to $GOOGL",,,,
,,"Backlash against ""subsidy sucker"" $tsla in former paradise Netherlands. Paradise about to be lost. 'Dure Tesla slurpt subsidie"" https://www.telegraaf.nl/t/2735628/  via @telegraaf",,,,
,,Breaking news: he doesn’t care about laws. Laws are for non-billionaires. $TSLA,,,,
,,Looks like fund managers are making their end of the month adjustments to their portfolio. They are locking in $TSLA profit. Expect $TSLA to bounce back when adjustment is completed. Going forward the odds of market going higher is much better than going lower from here.,,,,
,,"$TSLA investors-be patient, avoid CNBC, Bloomberg, WSJ the most trusted names in Finance. Because Finance can't understand TSLA, its a back of the napkin(I think Gali talked about this too) kinda understanding that one needs to invest long term. Wait till 4th quarter results.",,,,
,,Leasing Could Give Tesla Model 3 A Big Boost via @forbes,,,,
,,"This is the #1 reason $TSLA will be worth $4,000 in a few years.  Neural Networks work best with larger databases of input.  Who has been collecting more real-world input than any other company for years? #Tesla the world in autopilot v9",,,,
,,$TSLA Once hedge funds are done taking down gross and stop covering their Tesla short this relative strength will evaporate.,,,,
,,$tsla when the Moody upgrades $tsla it would be massive upside like $twtr - $twtr upgraded to B- by the street,,,,
,,The company’s devotion to its Azure unit continues to pay off handsomely,,,,
